index,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-10-14,328.359985351562,330.519989013672,327.100006103516,328.529998779297,328.529998779297,14302200
1,2021-10-15,328.679992675781,329.070007324219,322.510009765625,324.760009765625,324.760009765625,21596400
2,2021-10-18,328.950012207031,335.890014648437,327.5,335.339996337891,335.339996337891,21585000
3,2021-10-19,339.649993896484,342.459991455078,337.279998779297,339.989990234375,339.989990234375,18786300
4,2021-10-20,343.450012207031,343.980010986328,339.450012207031,340.779998779297,340.779998779297,13639500
5,2021-10-21,340.279998779297,342.309997558594,337.799987792969,341.880004882813,341.880004882813,16354400
6,2021-10-22,326.350006103516,329.630004882812,321.109985351563,324.609985351562,324.609985351562,35224500
7,2021-10-25,320.299987792969,329.559997558594,319.720001220703,328.690002441406,328.690002441406,38409000
8,2021-10-26,328.260009765625,330.209991455078,309.600006103516,315.809997558594,315.809997558594,65654000
9,2021-10-27,314.190002441406,319.25,312.059997558594,312.220001220703,312.220001220703,29971800
10,2021-10-28,312.989990234375,325.519989013672,308.109985351562,316.920013427734,316.920013427734,50806800
11,2021-10-29,320.190002441406,326.0,319.600006103516,323.570007324219,323.570007324219,37059400
12,2021-11-01,326.040008544922,333.450012207031,326.0,329.980010986328,329.980010986328,31518900
13,2021-11-02,331.380004882813,334.790008544922,323.799987792969,328.079986572266,328.079986572266,28353000
14,2021-11-03,327.489990234375,332.149993896484,323.200012207031,331.619995117188,331.619995117188,20786500
15,2021-11-04,334.010009765625,337.269989013672,332.649993896484,335.850006103516,335.850006103516,22495300
16,2021-11-05,340.309997558594,346.790008544922,339.640014648438,341.130004882812,341.130004882812,26872800
17,2021-11-08,344.420013427734,344.790008544922,338.339996337891,338.619995117187,338.619995117187,18342500
18,2021-11-09,340.0,341.309997558594,334.470001220703,335.369995117187,335.369995117187,17556700
19,2021-11-10,332.489990234375,333.190002441406,325.510009765625,327.640014648437,327.640014648437,21872600
20,2021-11-11,329.820007324219,332.459991455078,327.0,327.739990234375,327.739990234375,12376600
21,2021-11-12,330.179992675781,341.859985351562,329.779998779297,340.890014648437,340.890014648437,25414300
22,2021-11-15,344.339996337891,353.649993896484,343.200012207031,347.559997558594,347.559997558594,25076600
23,2021-11-16,343.829986572266,346.649993896484,340.869995117187,342.959991455078,342.959991455078,18181100
24,2021-11-17,344.239990234375,347.299987792969,340.100006103516,340.769989013672,340.769989013672,13602800
25,2021-11-18,339.720001220703,342.459991455078,335.299987792969,338.690002441406,338.690002441406,17487200
